temperature	V(volt-divider-scaled)
0.000000000000000e+00	3.943124e-02
1.000000000000000e+00	8.025551e-02
2.000000000000000e+00	1.211440e-01
3.000000000000000e+00	1.620934e-01
4.000000000000000e+00	2.031007e-01
5.000000000000000e+00	2.441626e-01
6.000000000000000e+00	2.852761e-01
7.000000000000000e+00	3.264382e-01
8.000000000000000e+00	3.676457e-01
9.000000000000000e+00	4.088957e-01
1.000000000000000e+01	4.501852e-01
1.100000000000000e+01	4.915113e-01
1.200000000000000e+01	5.328711e-01
1.300000000000000e+01	5.742615e-01
1.400000000000000e+01	6.156799e-01
1.500000000000000e+01	6.571234e-01
1.600000000000000e+01	6.985893e-01
1.700000000000000e+01	7.400746e-01
1.800000000000000e+01	7.815768e-01
1.900000000000000e+01	8.230931e-01
2.000000000000000e+01	8.646208e-01
2.100000000000000e+01	9.061574e-01
2.200000000000000e+01	9.477002e-01
2.300000000000000e+01	9.892467e-01
2.400000000000000e+01	1.030794e+00
2.500000000000000e+01	1.072340e+00
2.600000000000000e+01	1.113883e+00
2.700000000000000e+01	1.155419e+00
2.800000000000000e+01	1.196946e+00
2.900000000000000e+01	1.238463e+00
3.000000000000000e+01	1.279966e+00
3.100000000000000e+01	1.321453e+00
3.200000000000000e+01	1.362922e+00
3.300000000000000e+01	1.404371e+00
3.400000000000000e+01	1.445797e+00
3.500000000000000e+01	1.487199e+00
3.600000000000000e+01	1.528573e+00
3.700000000000000e+01	1.569919e+00
3.800000000000000e+01	1.611234e+00
3.900000000000000e+01	1.652516e+00
4.000000000000000e+01	1.693762e+00
4.100000000000000e+01	1.734972e+00
4.200000000000000e+01	1.776142e+00
4.300000000000000e+01	1.817271e+00
4.400000000000000e+01	1.858357e+00
4.500000000000000e+01	1.899399e+00
4.600000000000000e+01	1.940393e+00
4.700000000000000e+01	1.981340e+00
4.800000000000000e+01	2.022235e+00
4.900000000000000e+01	2.063079e+00
5.000000000000000e+01	2.103869e+00
5.100000000000000e+01	2.144603e+00
5.200000000000000e+01	2.185281e+00
5.300000000000000e+01	2.225899e+00
5.400000000000000e+01	2.266457e+00
5.500000000000000e+01	2.306953e+00
5.600000000000000e+01	2.347385e+00
5.700000000000000e+01	2.387753e+00
5.800000000000000e+01	2.428053e+00
5.900000000000000e+01	2.468286e+00
6.000000000000000e+01	2.508449e+00
6.100000000000000e+01	2.548541e+00
6.200000000000000e+01	2.588560e+00
6.300000000000000e+01	2.628506e+00
6.400000000000000e+01	2.668377e+00
6.500000000000000e+01	2.708171e+00
6.600000000000000e+01	2.747888e+00
6.700000000000000e+01	2.787526e+00
6.800000000000000e+01	2.827084e+00
6.900000000000000e+01	2.866560e+00
7.000000000000000e+01	2.905954e+00
7.100000000000000e+01	2.945264e+00
7.200000000000000e+01	2.984489e+00
7.300000000000000e+01	3.023628e+00
7.400000000000000e+01	3.062680e+00
7.500000000000000e+01	3.101644e+00
7.600000000000000e+01	3.140519e+00
7.700000000000000e+01	3.179303e+00
7.800000000000000e+01	3.217997e+00
7.900000000000000e+01	3.256598e+00
8.000000000000000e+01	3.295107e+00
8.100000000000000e+01	3.333521e+00
8.200000000000000e+01	3.371840e+00
8.300000000000000e+01	3.410064e+00
8.400000000000000e+01	3.448191e+00
8.500000000000000e+01	3.486220e+00
8.600000000000000e+01	3.524152e+00
8.700000000000000e+01	3.561984e+00
8.800000000000000e+01	3.599716e+00
8.900000000000000e+01	3.637348e+00
9.000000000000000e+01	3.674878e+00
9.100000000000000e+01	3.712306e+00
9.200000000000000e+01	3.749632e+00
9.300000000000000e+01	3.786854e+00
9.400000000000000e+01	3.823972e+00
9.500000000000000e+01	3.860985e+00
9.600000000000000e+01	3.897893e+00
9.700000000000000e+01	3.934695e+00
9.800000000000000e+01	3.971391e+00
9.900000000000000e+01	4.007980e+00
1.000000000000000e+02	4.044461e+00
1.010000000000000e+02	4.080833e+00
1.020000000000000e+02	4.117098e+00
1.030000000000000e+02	4.153253e+00
1.040000000000000e+02	4.189299e+00
1.050000000000000e+02	4.225235e+00
1.060000000000000e+02	4.261060e+00
1.070000000000000e+02	4.296774e+00
1.080000000000000e+02	4.332377e+00
1.090000000000000e+02	4.367868e+00
1.100000000000000e+02	4.403247e+00
1.110000000000000e+02	4.438514e+00
1.120000000000000e+02	4.473668e+00
1.130000000000000e+02	4.508709e+00
1.140000000000000e+02	4.543637e+00
1.150000000000000e+02	4.578450e+00
1.160000000000000e+02	4.613150e+00
1.170000000000000e+02	4.647736e+00
1.180000000000000e+02	4.682207e+00
1.190000000000000e+02	4.716563e+00
1.200000000000000e+02	4.750804e+00
